[ 2024-12-21 19:27:02,905 ] 15 root - INFO - Initiate the data ingestion
[ 2024-12-21 19:27:08,730 ] 65 root - INFO - Performed train test split on the dataframe
[ 2024-12-21 19:27:08,733 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-12-21 19:27:08,740 ] 75 root - INFO - Exporting train and test file path.
[ 2024-12-21 19:27:08,940 ] 84 root - INFO - Exported train and test file path.
[ 2024-12-21 19:27:08,940 ] 17 root - INFO - Data Initiation Completed
[ 2024-12-21 19:27:08,960 ] 21 root - INFO - Initiate the data validation
[ 2024-12-21 19:27:11,763 ] 33 root - INFO - Required number of columns:2
[ 2024-12-21 19:27:11,766 ] 34 root - INFO - Data frame has columns:1
[ 2024-12-21 19:27:11,767 ] 33 root - INFO - Required number of columns:2
[ 2024-12-21 19:27:11,767 ] 34 root - INFO - Data frame has columns:1
[ 2024-12-21 19:27:11,887 ] 23 root - INFO - Data Validation Completed
